sensor_id,09/01/2013,09/02/2013,09/03/2013,09/04/2013,09/05/2013,09/06/2013,09/07/2013,09/08/2013,09/09/2013,09/10/2013,09/11/2013,09/12/2013,09/13/2013,09/14/2013,09/15/2013,09/16/2013,09/17/2013,09/18/2013,09/19/2013,09/20/2013,09/21/2013,09/22/2013,09/23/2013,09/24/2013,09/25/2013,09/26/2013,09/27/2013,09/28/2013,09/29/2013,09/30/2013,
381,2823.333333,2392.000000,7246.333333,7213.333333,7297.333333,6712.666667,4277.333333,2837.000000,7284.000000,6695.000000,7583.000000,7264.000000,7283.000000,4251.000000,2917.000000,7278.000000,5418.000000,7590.333333,7787.333333,7661.000000,4938.666667,3805.000000,7757.666667,7493.666667,7787.000000,7838.000000,7528.000000,4881.000000,3687.000000,7613.666667,
382,205.333333,165.333333,775.666667,780.000000,733.666667,774.333333,353.000000,195.333333,792.333333,650.333333,740.000000,754.666667,724.333333,330.333333,201.000000,731.666667,797.000000,716.000000,754.666667,685.000000,378.333333,211.000000,764.666667,760.666667,776.000000,737.000000,695.666667,339.333333,202.000000,725.333333,
383,152.666667,142.000000,543.000000,621.000000,594.000000,610.000000,292.000000,172.000000,604.333333,638.000000,620.333333,617.333333,626.333333,295.666667,168.333333,613.333333,608.000000,631.000000,608.333333,616.000000,315.000000,173.333333,607.000000,602.666667,628.333333,627.000000,615.666667,301.333333,169.000000,592.000000,
384,2264.333333,1887.333333,5289.333333,5304.666667,5418.333333,5246.000000,3671.333333,2278.333333,5276.000000,5416.666667,5497.333333,5471.000000,5298.666667,3670.000000,2262.666667,5328.333333,5353.666667,5437.666667,5339.333333,5220.666667,3659.000000,2473.000000,5265.000000,5475.666667,5470.000000,5546.000000,5324.666667,3747.666667,2342.333333,5229.000000,
385,188.333333,119.000000,309.666667,401.666667,344.666667,370.333333,294.000000,168.333333,319.000000,339.333333,341.666667,342.333333,367.666667,326.000000,159.666667,326.666667,323.000000,344.666667,338.000000,367.333333,304.333333,180.000000,319.666667,345.333333,365.666667,356.666667,401.000000,326.000000,168.000000,331.000000,
386,1336.333333,1428.333333,3227.000000,3298.000000,3256.666667,3300.333333,2251.666667,1425.666667,3137.666667,3081.666667,3332.666667,3240.000000,3315.000000,2234.000000,1417.333333,3251.000000,3899.000000,3334.333333,3369.666667,3278.666667,2259.333333,1472.666667,3201.000000,3326.666667,3361.666667,3316.000000,3361.000000,2103.333333,1412.666667,3229.666667,
387,172.333333,185.000000,483.000000,548.000000,520.000000,415.000000,299.000000,293.000000,515.333333,513.000000,544.000000,499.000000,496.666667,338.333333,227.666667,506.333333,538.666667,541.000000,523.333333,434.000000,272.000000,195.000000,518.000000,526.333333,550.333333,519.000000,508.000000,558.000000,4.000000,510.000000,
388,1616.666667,1411.000000,5208.333333,5547.000000,4692.000000,5167.333333,2844.666667,1650.333333,5014.000000,5260.333333,5277.666667,5360.000000,4933.666667,3145.333333,1669.333333,5106.666667,5310.000000,5301.333333,5324.666667,5054.000000,2824.666667,1727.000000,5147.666667,5294.333333,5460.333333,5228.666667,4456.666667,2836.666667,1946.333333,5134.666667,
389,nan,nan,nan,nan,nan,nan,nan,nan,156.333333,155.666667,194.666667,198.000000,167.000000,108.333333,64.000000,158.000000,208.666667,162.000000,202.666667,160.333333,164.666667,74.666667,204.333333,204.000000,236.000000,185.333333,225.000000,84.333333,206.000000,223.666667,
390,1421.000000,1239.000000,3029.000000,3323.333333,3187.666667,2944.666667,2106.333333,1415.666667,4406.666667,4642.333333,4640.000000,4751.333333,4409.333333,2820.000000,1572.666667,4475.000000,4677.666667,4657.666667,4685.666667,4398.333333,2595.333333,1627.333333,4494.000000,4651.333333,4726.333333,4631.333333,4488.333333,2565.666667,1587.333333,4440.000000,
391,1396.666667,1505.333333,3492.000000,3539.000000,3531.333333,3411.666667,2329.333333,1512.333333,3425.333333,3347.333333,3674.333333,3615.000000,3589.666667,2321.000000,1485.333333,3508.333333,4135.666667,3664.666667,3695.000000,3395.000000,2280.000000,1529.000000,3507.666667,3634.000000,3634.666667,3631.666667,3598.000000,2178.666667,1486.333333,3479.333333,
392,143.000000,116.333333,331.000000,347.333333,370.000000,345.000000,261.000000,359.333333,314.666667,318.333333,331.333333,320.333333,342.666667,266.333333,234.000000,349.333333,340.666667,359.333333,362.000000,342.000000,207.666667,165.333333,339.666667,356.666667,345.333333,331.666667,326.333333,308.000000,233.666667,336.666667,
393,1642.000000,1694.666667,3854.666667,3923.000000,3881.333333,3741.333333,2663.333333,1767.000000,3731.666667,3678.333333,4013.000000,3936.333333,3930.000000,2603.333333,1730.333333,3868.666667,4396.000000,3984.000000,4017.333333,3730.333333,2610.666667,1815.666667,3854.333333,3879.000000,3960.333333,3932.000000,3905.666667,2525.333333,1727.333333,3843.000000,
394,1779.333333,1527.333333,5104.000000,5049.666667,4951.666667,4961.333333,2869.333333,1834.333333,4834.666667,5082.000000,5118.666667,5147.000000,4856.333333,3028.000000,1829.666667,4951.333333,5066.000000,5108.000000,5089.000000,4816.000000,2848.666667,1889.333333,4889.000000,5072.666667,5151.666667,5107.000000,4852.333333,2845.000000,1792.333333,4855.333333,
395,471.333333,630.666667,1404.000000,1050.000000,1271.333333,881.000000,550.000000,371.333333,891.666667,1109.333333,1590.666667,2244.000000,1761.666667,1480.000000,1292.333333,2279.666667,2289.333333,2199.000000,2247.000000,1403.666667,916.000000,651.000000,1419.666667,1745.666667,2246.333333,1936.666667,2209.000000,942.666667,707.666667,1407.000000,
396,589.666667,648.333333,1207.333333,1178.000000,1200.333333,1161.333333,854.333333,555.000000,1163.666667,1152.333333,1241.000000,1201.000000,1152.000000,952.666667,649.333333,1219.666667,1349.333333,1264.000000,1273.333333,1171.000000,805.000000,574.000000,1168.000000,1238.666667,1244.333333,1226.000000,1251.000000,846.666667,558.333333,1166.666667,
397,2272.333333,2677.666667,5002.333333,5164.000000,5287.666667,5017.333333,3158.666667,2057.666667,5031.333333,4788.666667,5549.333333,6085.333333,5376.666667,4290.333333,3119.000000,6043.000000,5917.666667,6192.666667,6057.666667,5097.333333,3134.000000,2101.333333,5117.666667,5488.000000,6113.333333,5662.000000,5994.666667,3127.000000,2149.000000,5068.000000,
398,2644.666667,2692.333333,5648.666667,5275.000000,5477.000000,5026.000000,3853.666667,2233.000000,5023.000000,5146.000000,5389.333333,5769.000000,5128.666667,4540.333333,2957.666667,5756.666667,5665.666667,5945.000000,5858.000000,5025.666667,3660.000000,2437.333333,5080.666667,5470.333333,5862.333333,5574.666667,5911.333333,3759.000000,2299.666667,5024.000000,
399,158.000000,241.666667,326.666667,323.666667,263.333333,308.000000,288.666667,158.333333,268.000000,292.333333,300.333333,302.000000,317.000000,296.666667,147.000000,292.333333,281.000000,300.666667,392.333333,330.000000,288.000000,166.333333,282.000000,293.000000,335.666667,706.000000,332.666667,302.333333,154.666667,279.000000,
400,4058.333333,3449.000000,8775.666667,8860.666667,8949.666667,8815.333333,6621.666667,4027.666667,8968.000000,9171.333333,9175.000000,9155.000000,8877.000000,6667.333333,4046.333333,8951.333333,8836.000000,9283.333333,9065.666667,8994.666667,6552.666667,4303.000000,8819.666667,9065.333333,9170.000000,9330.666667,9013.666667,6728.666667,4128.000000,8826.333333,
401,3931.333333,3588.000000,9486.666667,9659.000000,9592.666667,9479.666667,6343.000000,4297.666667,8925.000000,8483.333333,9779.000000,9563.000000,9449.333333,6381.333333,4201.333333,9528.666667,9346.666667,9785.000000,9621.333333,9499.000000,6363.000000,4182.666667,9399.666667,9622.333333,9631.666667,9647.000000,9436.333333,6209.333333,4170.666667,9407.666667,
402,4059.000000,3402.000000,8236.333333,8419.666667,8484.333333,8288.666667,6355.000000,3989.333333,8345.000000,8541.000000,8557.333333,8646.000000,8307.333333,6461.000000,3995.000000,8403.333333,8382.000000,8584.333333,8400.666667,8218.333333,6317.333333,4205.000000,8223.333333,8434.000000,8527.333333,8666.333333,8382.333333,6501.666667,3939.333333,8221.666667,
403,216.333333,114.000000,346.000000,412.333333,382.333333,426.333333,319.000000,187.666667,371.333333,368.666667,420.333333,369.000000,402.000000,309.333333,178.333333,393.666667,420.333333,398.333333,401.666667,426.000000,335.333333,201.333333,432.666667,399.000000,390.666667,393.666667,425.666667,318.333333,187.666667,419.000000,
404,3280.666667,3137.333333,8490.333333,9014.333333,8704.666667,8691.666667,5336.333333,3746.333333,8125.000000,7425.333333,8889.666667,8216.333333,8407.000000,5623.000000,3691.000000,8527.000000,7855.000000,8582.333333,9816.333333,8492.000000,5653.333333,3703.666667,8549.666667,8553.000000,8511.000000,8245.666667,8191.666667,6057.333333,3665.333333,7968.000000,
405,3793.333333,3440.666667,7355.333333,7689.000000,7592.666667,7776.666667,5952.666667,3741.000000,7395.333333,7609.000000,7540.000000,7694.000000,7558.000000,5960.000000,3849.333333,7511.666667,7576.333333,7954.333333,7524.333333,7400.666667,5804.000000,4031.666667,7424.000000,7830.666667,7570.666667,7744.333333,7841.000000,6017.333333,3928.333333,7336.000000,
406,3875.666667,3445.333333,7955.000000,8204.000000,8190.000000,8112.333333,6106.666667,3902.333333,7908.333333,8221.333333,8337.000000,8341.333333,8129.333333,6198.666667,3906.000000,8068.333333,8161.000000,8334.333333,8195.333333,8102.000000,6076.000000,4135.666667,8038.666667,8180.333333,8245.666667,8394.666667,8177.000000,6299.000000,4008.333333,8055.666667,
407,250.666667,408.333333,420.000000,449.333333,508.000000,532.666667,471.666667,260.666667,423.000000,419.666667,482.666667,692.666667,515.000000,520.000000,269.333333,427.333333,439.000000,482.666667,802.333333,688.333333,493.666667,280.666667,427.333333,882.666667,994.666667,802.333333,881.666667,507.666667,280.666667,891.666667,
